organization_id,source_system,source_record_id,ticket_id,customer_id,created_at,priority,category,status,first_response_minutes,resolution_minutes,satisfaction_score,source_updated_at,ingested_at,normalized_at
org_northstar_001,zendesk,zd_ticket_12,tkt_000012,cus_00069,2025-01-03T10:29:00Z,low,Login,solved,19,319,5,2025-01-03T10:29:00Z,2025-01-03T10:29:00Z,2025-01-03T10:29:00Z
org_northstar_001,zendesk,zd_ticket_13,tkt_000013,cus_00460,2025-01-04T17:06:00Z,normal,Integration,solved,35,611,4.0,2025-01-04T17:06:00Z,2025-01-04T17:06:00Z,2025-01-04T17:06:00Z
org_northstar_001,zendesk,zd_ticket_14,tkt_000014,cus_00453,2025-01-04T11:32:00Z,low,Login,closed,25,861,4.6,2025-01-04T11:32:00Z,2025-01-04T11:32:00Z,2025-01-04T11:32:00Z
org_northstar_001,zendesk,zd_ticket_15,tkt_000015,cus_00459,2025-01-04T09:47:00Z,normal,Billing,solved,26,148,3.2,2025-01-04T09:47:00Z,2025-01-04T09:47:00Z,2025-01-04T09:47:00Z
org_northstar_001,zendesk,zd_ticket_16,tkt_000016,cus_00375,2025-01-04T10:31:00Z,low,Billing,closed,20,110,3.7,2025-01-04T10:31:00Z,2025-01-04T10:31:00Z,2025-01-04T10:31:00Z
org_northstar_001,zendesk,zd_ticket_17,tkt_000017,cus_00261,2025-01-05T14:39:00Z,low,Performance,solved,45,367,5,2025-01-05T14:39:00Z,2025-01-05T14:39:00Z,2025-01-05T14:39:00Z
org_northstar_001,zendesk,zd_ticket_18,tkt_000018,cus_00158,2025-01-05T09:44:00Z,normal,How-to,solved,38,423,5,2025-01-05T09:44:00Z,2025-01-05T09:44:00Z,2025-01-05T09:44:00Z
org_northstar_001,zendesk,zd_ticket_19,tkt_000019,cus_00291,2025-01-06T16:42:00Z,high,How-to,pending,45,178,4.3,2025-01-06T16:42:00Z,2025-01-06T16:42:00Z,2025-01-06T16:42:00Z
org_northstar_001,zendesk,zd_ticket_20,tkt_000020,cus_00022,2025-01-06T18:34:00Z,normal,Performance,open,45,503,4.8,2025-01-06T18:34:00Z,2025-01-06T18:34:00Z,2025-01-06T18:34:00Z
org_northstar_001,zendesk,zd_ticket_21,tkt_000021,cus_00302,2025-01-06T18:01:00Z,low,Performance,closed,15,170,4.1,2025-01-06T18:01:00Z,2025-01-06T18:01:00Z,2025-01-06T18:01:00Z
org_northstar_001,zendesk,zd_ticket_22,tkt_000022,cus_00294,2025-01-06T17:36:00Z,normal,Bug,closed,68,781,4.8,2025-01-06T17:36:00Z,2025-01-06T17:36:00Z,2025-01-06T17:36:00Z
org_northstar_001,zendesk,zd_ticket_23,tkt_000023,cus_00083,2025-01-07T19:08:00Z,normal,Bug,closed,44,613,4.5,2025-01-07T19:08:00Z,2025-01-07T19:08:00Z,2025-01-07T19:08:00Z
org_northstar_001,zendesk,zd_ticket_24,tkt_000024,cus_00195,2025-01-07T16:04:00Z,low,Integration,closed,43,138,5,2025-01-07T16:04:00Z,2025-01-07T16:04:00Z,2025-01-07T16:04:00Z
org_northstar_001,zendesk,zd_ticket_25,tkt_000025,cus_00097,2025-01-08T13:29:00Z,high,Bug,solved,66,275,4.4,2025-01-08T13:29:00Z,2025-01-08T13:29:00Z,2025-01-08T13:29:00Z
org_northstar_001,zendesk,zd_ticket_26,tkt_000026,cus_00323,2025-01-08T13:30:00Z,low,Performance,solved,32,247,2.8,2025-01-08T13:30:00Z,2025-01-08T13:30:00Z,2025-01-08T13:30:00Z
org_northstar_001,zendesk,zd_ticket_27,tkt_000027,cus_00250,2025-01-08T17:35:00Z,low,How-to,closed,22,267,4.1,2025-01-08T17:35:00Z,2025-01-08T17:35:00Z,2025-01-08T17:35:00Z
org_northstar_001,zendesk,zd_ticket_28,tkt_000028,cus_00180,2025-01-08T13:59:00Z,low,Integration,closed,13,1196,3.5,2025-01-08T13:59:00Z,2025-01-08T13:59:00Z,2025-01-08T13:59:00Z
org_northstar_001,zendesk,zd_ticket_29,tkt_000029,cus_00178,2025-01-08T18:10:00Z,normal,Login,closed,21,330,4.8,2025-01-08T18:10:00Z,2025-01-08T18:10:00Z,2025-01-08T18:10:00Z
org_northstar_001,zendesk,zd_ticket_30,tkt_000030,cus_00316,2025-01-08T11:09:00Z,normal,How-to,open,105,444,4.3,2025-01-08T11:09:00Z,2025-01-08T11:09:00Z,2025-01-08T11:09:00Z
org_northstar_001,zendesk,zd_ticket_31,tkt_000031,cus_00292,2025-01-09T11:10:00Z,low,Billing,closed,23,428,4.6,2025-01-09T11:10:00Z,2025-01-09T11:10:00Z,2025-01-09T11:10:00Z
org_northstar_001,zendesk,zd_ticket_32,tkt_000032,cus_00452,2025-01-09T10:01:00Z,normal,Bug,open,30,228,3.8,2025-01-09T10:01:00Z,2025-01-09T10:01:00Z,2025-01-09T10:01:00Z
org_northstar_001,zendesk,zd_ticket_33,tkt_000033,cus_00456,2025-01-09T16:48:00Z,normal,Integration,closed,25,456,3.8,2025-01-09T16:48:00Z,2025-01-09T16:48:00Z,2025-01-09T16:48:00Z
org_northstar_001,zendesk,zd_ticket_34,tkt_000034,cus_00285,2025-01-09T11:11:00Z,normal,Billing,closed,31,327,4.3,2025-01-09T11:11:00Z,2025-01-09T11:11:00Z,2025-01-09T11:11:00Z
org_northstar_001,zendesk,zd_ticket_35,tkt_000035,cus_00179,2025-01-10T12:28:00Z,normal,Integration,closed,53,271,3.4,2025-01-10T12:28:00Z,2025-01-10T12:28:00Z,2025-01-10T12:28:00Z
org_northstar_001,zendesk,zd_ticket_36,tkt_000036,cus_00004,2025-01-10T09:11:00Z,normal,Performance,closed,31,489,4.8,2025-01-10T09:11:00Z,2025-01-10T09:11:00Z,2025-01-10T09:11:00Z
org_northstar_001,zendesk,zd_ticket_37,tkt_000037,cus_00319,2025-01-10T13:18:00Z,low,Integration,closed,44,107,3.0,2025-01-10T13:18:00Z,2025-01-10T13:18:00Z,2025-01-10T13:18:00Z
org_northstar_001,zendesk,zd_ticket_38,tkt_000038,cus_00409,2025-01-10T17:13:00Z,normal,Performance,solved,28,486,4.3,2025-01-10T17:13:00Z,2025-01-10T17:13:00Z,2025-01-10T17:13:00Z
org_northstar_001,zendesk,zd_ticket_39,tkt_000039,cus_00416,2025-01-11T16:31:00Z,normal,Performance,solved,15,227,4.7,2025-01-11T16:31:00Z,2025-01-11T16:31:00Z,2025-01-11T16:31:00Z
org_northstar_001,zendesk,zd_ticket_40,tkt_000040,cus_00310,2025-01-12T19:31:00Z,low,Billing,solved,23,389,4.8,2025-01-12T19:31:00Z,2025-01-12T19:31:00Z,2025-01-12T19:31:00Z
org_northstar_001,zendesk,zd_ticket_41,tkt_000041,cus_00361,2025-01-13T10:50:00Z,high,Login,closed,38,266,4.6,2025-01-13T10:50:00Z,2025-01-13T10:50:00Z,2025-01-13T10:50:00Z
org_northstar_001,zendesk,zd_ticket_42,tkt_000042,cus_00130,2025-01-14T09:12:00Z,low,Bug,pending,15,422,3.8,2025-01-14T09:12:00Z,2025-01-14T09:12:00Z,2025-01-14T09:12:00Z
org_northstar_001,zendesk,zd_ticket_43,tkt_000043,cus_00096,2025-01-14T09:49:00Z,high,How-to,solved,9,283,4.1,2025-01-14T09:49:00Z,2025-01-14T09:49:00Z,2025-01-14T09:49:00Z
org_northstar_001,zendesk,zd_ticket_44,tkt_000044,cus_00274,2025-01-14T17:46:00Z,normal,Billing,closed,26,110,4.0,2025-01-14T17:46:00Z,2025-01-14T17:46:00Z,2025-01-14T17:46:00Z
org_northstar_001,zendesk,zd_ticket_45,tkt_000045,cus_00032,2025-01-14T14:54:00Z,normal,Performance,closed,42,243,3.9,2025-01-14T14:54:00Z,2025-01-14T14:54:00Z,2025-01-14T14:54:00Z
org_northstar_001,zendesk,zd_ticket_46,tkt_000046,cus_00072,2025-01-14T11:35:00Z,normal,Login,closed,20,323,3.7,2025-01-14T11:35:00Z,2025-01-14T11:35:00Z,2025-01-14T11:35:00Z
org_northstar_001,zendesk,zd_ticket_47,tkt_000047,cus_00280,2025-01-14T13:45:00Z,normal,Login,solved,22,346,5,2025-01-14T13:45:00Z,2025-01-14T13:45:00Z,2025-01-14T13:45:00Z
org_northstar_001,zendesk,zd_ticket_48,tkt_000048,cus_00225,2025-01-15T19:18:00Z,low,Bug,closed,54,179,4.1,2025-01-15T19:18:00Z,2025-01-15T19:18:00Z,2025-01-15T19:18:00Z
org_northstar_001,zendesk,zd_ticket_49,tkt_000049,cus_00243,2025-01-15T12:20:00Z,low,Bug,open,22,304,4.2,2025-01-15T12:20:00Z,2025-01-15T12:20:00Z,2025-01-15T12:20:00Z
org_northstar_001,zendesk,zd_ticket_50,tkt_000050,cus_00129,2025-01-15T09:58:00Z,high,Billing,closed,17,179,4.6,2025-01-15T09:58:00Z,2025-01-15T09:58:00Z,2025-01-15T09:58:00Z
org_northstar_001,zendesk,zd_ticket_51,tkt_000051,cus_00026,2025-01-15T11:35:00Z,normal,Bug,closed,35,178,4.3,2025-01-15T11:35:00Z,2025-01-15T11:35:00Z,2025-01-15T11:35:00Z
org_northstar_001,zendesk,zd_ticket_52,tkt_000052,cus_00133,2025-01-15T17:01:00Z,low,How-to,closed,45,268,3.5,2025-01-15T17:01:00Z,2025-01-15T17:01:00Z,2025-01-15T17:01:00Z
org_northstar_001,zendesk,zd_ticket_53,tkt_000053,cus_00016,2025-01-16T09:02:00Z,normal,Integration,open,63,667,3.8,2025-01-16T09:02:00Z,2025-01-16T09:02:00Z,2025-01-16T09:02:00Z
org_northstar_001,zendesk,zd_ticket_54,tkt_000054,cus_00451,2025-01-16T11:57:00Z,normal,Login,open,32,328,4.9,2025-01-16T11:57:00Z,2025-01-16T11:57:00Z,2025-01-16T11:57:00Z
org_northstar_001,zendesk,zd_ticket_55,tkt_000055,cus_00012,2025-01-16T15:39:00Z,low,How-to,solved,19,273,3.7,2025-01-16T15:39:00Z,2025-01-16T15:39:00Z,2025-01-16T15:39:00Z
org_northstar_001,zendesk,zd_ticket_56,tkt_000056,cus_00206,2025-01-16T10:59:00Z,high,Login,open,38,266,4.4,2025-01-16T10:59:00Z,2025-01-16T10:59:00Z,2025-01-16T10:59:00Z
org_northstar_001,zendesk,zd_ticket_57,tkt_000057,cus_00397,2025-01-17T13:11:00Z,high,Login,closed,56,229,3.2,2025-01-17T13:11:00Z,2025-01-17T13:11:00Z,2025-01-17T13:11:00Z
org_northstar_001,zendesk,zd_ticket_58,tkt_000058,cus_00348,2025-01-17T16:31:00Z,high,How-to,closed,21,207,5,2025-01-17T16:31:00Z,2025-01-17T16:31:00Z,2025-01-17T16:31:00Z
org_northstar_001,zendesk,zd_ticket_59,tkt_000059,cus_00387,2025-01-17T17:49:00Z,normal,Billing,closed,17,614,4.8,2025-01-17T17:49:00Z,2025-01-17T17:49:00Z,2025-01-17T17:49:00Z
org_northstar_001,zendesk,zd_ticket_60,tkt_000060,cus_00010,2025-01-17T13:19:00Z,normal,Integration,open,8,1071,5,2025-01-17T13:19:00Z,2025-01-17T13:19:00Z,2025-01-17T13:19:00Z
org_northstar_001,zendesk,zd_ticket_61,tkt_000061,cus_00283,2025-01-18T14:31:00Z,normal,How-to,solved,13,262,5,2025-01-18T14:31:00Z,2025-01-18T14:31:00Z,2025-01-18T14:31:00Z
org_northstar_001,zendesk,zd_ticket_62,tkt_000062,cus_00236,2025-01-18T09:01:00Z,normal,Performance,closed,25,269,4.5,2025-01-18T09:01:00Z,2025-01-18T09:01:00Z,2025-01-18T09:01:00Z
org_northstar_001,zendesk,zd_ticket_63,tkt_000063,cus_00349,2025-01-19T12:50:00Z,urgent,Integration,pending,18,710,5,2025-01-19T12:50:00Z,2025-01-19T12:50:00Z,2025-01-19T12:50:00Z
org_northstar_001,zendesk,zd_ticket_64,tkt_000064,cus_00388,2025-01-19T15:22:00Z,high,How-to,closed,29,127,4.1,2025-01-19T15:22:00Z,2025-01-19T15:22:00Z,2025-01-19T15:22:00Z
org_northstar_001,zendesk,zd_ticket_65,tkt_000065,cus_00087,2025-01-19T11:25:00Z,normal,Bug,closed,42,288,3.7,2025-01-19T11:25:00Z,2025-01-19T11:25:00Z,2025-01-19T11:25:00Z
org_northstar_001,zendesk,zd_ticket_66,tkt_000066,cus_00003,2025-01-19T12:22:00Z,normal,Login,closed,66,595,4.0,2025-01-19T12:22:00Z,2025-01-19T12:22:00Z,2025-01-19T12:22:00Z
org_northstar_001,zendesk,zd_ticket_67,tkt_000067,cus_00413,2025-01-20T08:25:00Z,normal,Integration,closed,31,497,4.8,2025-01-20T08:25:00Z,2025-01-20T08:25:00Z,2025-01-20T08:25:00Z
org_northstar_001,zendesk,zd_ticket_68,tkt_000068,cus_00133,2025-01-21T18:35:00Z,high,Billing,solved,24,1125,3.5,2025-01-21T18:35:00Z,2025-01-21T18:35:00Z,2025-01-21T18:35:00Z
org_northstar_001,zendesk,zd_ticket_69,tkt_000069,cus_00238,2025-01-21T16:24:00Z,normal,Bug,closed,35,247,4.1,2025-01-21T16:24:00Z,2025-01-21T16:24:00Z,2025-01-21T16:24:00Z
org_northstar_001,zendesk,zd_ticket_70,tkt_000070,cus_00430,2025-01-21T17:28:00Z,normal,Billing,closed,31,115,3.0,2025-01-21T17:28:00Z,2025-01-21T17:28:00Z,2025-01-21T17:28:00Z
org_northstar_001,zendesk,zd_ticket_71,tkt_000071,cus_00394,2025-01-22T18:19:00Z,urgent,How-to,solved,57,175,3.8,2025-01-22T18:19:00Z,2025-01-22T18:19:00Z,2025-01-22T18:19:00Z
org_northstar_001,zendesk,zd_ticket_72,tkt_000072,cus_00260,2025-01-22T12:00:00Z,low,Bug,closed,43,204,4.2,2025-01-22T12:00:00Z,2025-01-22T12:00:00Z,2025-01-22T12:00:00Z
org_northstar_001,zendesk,zd_ticket_73,tkt_000073,cus_00212,2025-01-22T15:33:00Z,low,Integration,closed,15,406,4.9,2025-01-22T15:33:00Z,2025-01-22T15:33:00Z,2025-01-22T15:33:00Z
org_northstar_001,zendesk,zd_ticket_74,tkt_000074,cus_00105,2025-01-22T09:02:00Z,low,Performance,closed,46,131,4.3,2025-01-22T09:02:00Z,2025-01-22T09:02:00Z,2025-01-22T09:02:00Z
org_northstar_001,zendesk,zd_ticket_75,tkt_000075,cus_00210,2025-01-22T12:05:00Z,low,How-to,closed,19,149,3.6,2025-01-22T12:05:00Z,2025-01-22T12:05:00Z,2025-01-22T12:05:00Z
org_northstar_001,zendesk,zd_ticket_76,tkt_000076,cus_00312,2025-01-23T18:12:00Z,high,Performance,open,5,420,4.6,2025-01-23T18:12:00Z,2025-01-23T18:12:00Z,2025-01-23T18:12:00Z
org_northstar_001,zendesk,zd_ticket_77,tkt_000077,cus_00029,2025-01-23T08:18:00Z,low,Billing,solved,25,257,3.8,2025-01-23T08:18:00Z,2025-01-23T08:18:00Z,2025-01-23T08:18:00Z
org_northstar_001,zendesk,zd_ticket_78,tkt_000078,cus_00010,2025-01-23T16:29:00Z,normal,Billing,closed,14,254,4.6,2025-01-23T16:29:00Z,2025-01-23T16:29:00Z,2025-01-23T16:29:00Z
org_northstar_001,zendesk,zd_ticket_79,tkt_000079,cus_00176,2025-01-23T18:40:00Z,normal,How-to,pending,41,806,4.5,2025-01-23T18:40:00Z,2025-01-23T18:40:00Z,2025-01-23T18:40:00Z
org_northstar_001,zendesk,zd_ticket_80,tkt_000080,cus_00197,2025-01-24T10:55:00Z,normal,Performance,closed,33,527,4.1,2025-01-24T10:55:00Z,2025-01-24T10:55:00Z,2025-01-24T10:55:00Z
org_northstar_001,zendesk,zd_ticket_81,tkt_000081,cus_00185,2025-01-24T15:37:00Z,normal,Integration,open,18,1019,4.5,2025-01-24T15:37:00Z,2025-01-24T15:37:00Z,2025-01-24T15:37:00Z
org_northstar_001,zendesk,zd_ticket_82,tkt_000082,cus_00101,2025-01-24T16:38:00Z,normal,Billing,open,18,186,4.9,2025-01-24T16:38:00Z,2025-01-24T16:38:00Z,2025-01-24T16:38:00Z
org_northstar_001,zendesk,zd_ticket_83,tkt_000083,cus_00285,2025-01-24T14:15:00Z,normal,Performance,closed,9,794,3.5,2025-01-24T14:15:00Z,2025-01-24T14:15:00Z,2025-01-24T14:15:00Z
org_northstar_001,zendesk,zd_ticket_84,tkt_000084,cus_00440,2025-01-24T17:24:00Z,normal,Integration,closed,52,113,5,2025-01-24T17:24:00Z,2025-01-24T17:24:00Z,2025-01-24T17:24:00Z
org_northstar_001,zendesk,zd_ticket_85,tkt_000085,cus_00266,2025-01-25T13:47:00Z,low,Performance,open,45,282,4.3,2025-01-25T13:47:00Z,2025-01-25T13:47:00Z,2025-01-25T13:47:00Z
org_northstar_001,zendesk,zd_ticket_86,tkt_000086,cus_00156,2025-01-26T16:30:00Z,low,Performance,closed,35,881,4.3,2025-01-26T16:30:00Z,2025-01-26T16:30:00Z,2025-01-26T16:30:00Z
org_northstar_001,zendesk,zd_ticket_87,tkt_000087,cus_00048,2025-01-26T16:18:00Z,low,How-to,closed,37,511,4.0,2025-01-26T16:18:00Z,2025-01-26T16:18:00Z,2025-01-26T16:18:00Z
org_northstar_001,zendesk,zd_ticket_88,tkt_000088,cus_00274,2025-01-26T11:20:00Z,low,Billing,open,47,359,5,2025-01-26T11:20:00Z,2025-01-26T11:20:00Z,2025-01-26T11:20:00Z
org_northstar_001,zendesk,zd_ticket_89,tkt_000089,cus_00341,2025-01-27T16:11:00Z,normal,Billing,solved,4,304,3.6,2025-01-27T16:11:00Z,2025-01-27T16:11:00Z,2025-01-27T16:11:00Z
org_northstar_001,zendesk,zd_ticket_90,tkt_000090,cus_00448,2025-01-27T18:30:00Z,normal,Billing,closed,47,729,3.9,2025-01-27T18:30:00Z,2025-01-27T18:30:00Z,2025-01-27T18:30:00Z
org_northstar_001,zendesk,zd_ticket_91,tkt_000091,cus_00294,2025-01-27T17:15:00Z,normal,Login,solved,35,523,4.0,2025-01-27T17:15:00Z,2025-01-27T17:15:00Z,2025-01-27T17:15:00Z
org_northstar_001,zendesk,zd_ticket_92,tkt_000092,cus_00352,2025-01-27T12:46:00Z,normal,Billing,closed,26,190,4.6,2025-01-27T12:46:00Z,2025-01-27T12:46:00Z,2025-01-27T12:46:00Z
org_northstar_001,zendesk,zd_ticket_93,tkt_000093,cus_00035,2025-01-28T15:18:00Z,normal,Login,pending,41,803,5,2025-01-28T15:18:00Z,2025-01-28T15:18:00Z,2025-01-28T15:18:00Z
org_northstar_001,zendesk,zd_ticket_94,tkt_000094,cus_00465,2025-01-28T08:38:00Z,normal,Login,closed,41,221,4.3,2025-01-28T08:38:00Z,2025-01-28T08:38:00Z,2025-01-28T08:38:00Z
org_northstar_001,zendesk,zd_ticket_95,tkt_000095,cus_00400,2025-01-28T14:08:00Z,normal,Login,closed,15,744,3.1,2025-01-28T14:08:00Z,2025-01-28T14:08:00Z,2025-01-28T14:08:00Z
org_northstar_001,zendesk,zd_ticket_96,tkt_000096,cus_00434,2025-01-28T15:17:00Z,normal,Billing,closed,15,170,5,2025-01-28T15:17:00Z,2025-01-28T15:17:00Z,2025-01-28T15:17:00Z
org_northstar_001,zendesk,zd_ticket_97,tkt_000097,cus_00095,2025-01-29T11:41:00Z,high,Billing,solved,25,1028,4.2,2025-01-29T11:41:00Z,2025-01-29T11:41:00Z,2025-01-29T11:41:00Z
org_northstar_001,zendesk,zd_ticket_98,tkt_000098,cus_00454,2025-01-29T18:12:00Z,normal,Integration,closed,45,240,4.4,2025-01-29T18:12:00Z,2025-01-29T18:12:00Z,2025-01-29T18:12:00Z
org_northstar_001,zendesk,zd_ticket_99,tkt_000099,cus_00324,2025-01-29T12:42:00Z,normal,How-to,closed,38,230,4.8,2025-01-29T12:42:00Z,2025-01-29T12:42:00Z,2025-01-29T12:42:00Z
org_northstar_001,zendesk,zd_ticket_100,tkt_000100,cus_00124,2025-01-29T16:43:00Z,high,Performance,pending,19,313,5,2025-01-29T16:43:00Z,2025-01-29T16:43:00Z,2025-01-29T16:43:00Z
org_northstar_001,zendesk,zd_ticket_101,tkt_000101,cus_00381,2025-01-29T08:37:00Z,low,Bug,solved,37,92,5,2025-01-29T08:37:00Z,2025-01-29T08:37:00Z,2025-01-29T08:37:00Z
org_northstar_001,zendesk,zd_ticket_102,tkt_000102,cus_00355,2025-01-30T10:52:00Z,normal,How-to,solved,34,153,3.1,2025-01-30T10:52:00Z,2025-01-30T10:52:00Z,2025-01-30T10:52:00Z
org_northstar_001,zendesk,zd_ticket_103,tkt_000103,cus_00114,2025-01-30T18:24:00Z,low,Performance,open,16,521,4.5,2025-01-30T18:24:00Z,2025-01-30T18:24:00Z,2025-01-30T18:24:00Z
org_northstar_001,zendesk,zd_ticket_104,tkt_000104,cus_00401,2025-01-30T17:37:00Z,high,Performance,closed,16,506,4.2,2025-01-30T17:37:00Z,2025-01-30T17:37:00Z,2025-01-30T17:37:00Z
org_northstar_001,zendesk,zd_ticket_105,tkt_000105,cus_00075,2025-01-30T09:43:00Z,high,Performance,pending,26,566,4.0,2025-01-30T09:43:00Z,2025-01-30T09:43:00Z,2025-01-30T09:43:00Z
org_northstar_001,zendesk,zd_ticket_106,tkt_000106,cus_00102,2025-01-30T16:26:00Z,normal,How-to,closed,20,324,4.5,2025-01-30T16:26:00Z,2025-01-30T16:26:00Z,2025-01-30T16:26:00Z
org_northstar_001,zendesk,zd_ticket_107,tkt_000107,cus_00065,2025-01-30T09:34:00Z,high,How-to,solved,50,1085,5,2025-01-30T09:34:00Z,2025-01-30T09:34:00Z,2025-01-30T09:34:00Z
org_northstar_001,zendesk,zd_ticket_108,tkt_000108,cus_00396,2025-01-31T17:47:00Z,normal,Bug,solved,15,666,4.2,2025-01-31T17:47:00Z,2025-01-31T17:47:00Z,2025-01-31T17:47:00Z
org_northstar_001,zendesk,zd_ticket_109,tkt_000109,cus_00088,2025-01-31T14:28:00Z,high,How-to,solved,20,1014,4.4,2025-01-31T14:28:00Z,2025-01-31T14:28:00Z,2025-01-31T14:28:00Z
org_northstar_001,zendesk,zd_ticket_110,tkt_000110,cus_00004,2025-01-31T13:15:00Z,normal,Billing,pending,43,209,4.3,2025-01-31T13:15:00Z,2025-01-31T13:15:00Z,2025-01-31T13:15:00Z
org_northstar_001,zendesk,zd_ticket_111,tkt_000111,cus_00050,2025-01-31T17:45:00Z,normal,Performance,closed,48,459,4.3,2025-01-31T17:45:00Z,2025-01-31T17:45:00Z,2025-01-31T17:45:00Z
org_northstar_001,zendesk,zd_ticket_112,tkt_000112,cus_00214,2025-01-31T15:22:00Z,low,How-to,solved,22,979,5,2025-01-31T15:22:00Z,2025-01-31T15:22:00Z,2025-01-31T15:22:00Z
org_northstar_001,zendesk,zd_ticket_113,tkt_000113,cus_00121,2025-01-31T17:31:00Z,normal,Integration,closed,20,311,3.5,2025-01-31T17:31:00Z,2025-01-31T17:31:00Z,2025-01-31T17:31:00Z
org_northstar_001,zendesk,zd_ticket_114,tkt_000114,cus_00440,2025-01-31T17:45:00Z,normal,Performance,open,5,325,4.6,2025-01-31T17:45:00Z,2025-01-31T17:45:00Z,2025-01-31T17:45:00Z
org_northstar_001,zendesk,zd_ticket_115,tkt_000115,cus_00194,2025-02-01T11:58:00Z,normal,Bug,closed,79,529,3.0,2025-02-01T11:58:00Z,2025-02-01T11:58:00Z,2025-02-01T11:58:00Z
org_northstar_001,zendesk,zd_ticket_116,tkt_000116,cus_00425,2025-02-02T17:19:00Z,high,Integration,solved,26,117,4.9,2025-02-02T17:19:00Z,2025-02-02T17:19:00Z,2025-02-02T17:19:00Z
org_northstar_001,zendesk,zd_ticket_117,tkt_000117,cus_00272,2025-02-03T10:55:00Z,normal,How-to,solved,18,277,3.7,2025-02-03T10:55:00Z,2025-02-03T10:55:00Z,2025-02-03T10:55:00Z
org_northstar_001,zendesk,zd_ticket_118,tkt_000118,cus_00016,2025-02-03T12:10:00Z,normal,Bug,closed,39,370,3.4,2025-02-03T12:10:00Z,2025-02-03T12:10:00Z,2025-02-03T12:10:00Z
org_northstar_001,zendesk,zd_ticket_119,tkt_000119,cus_00194,2025-02-03T15:42:00Z,low,Billing,closed,23,729,4.4,2025-02-03T15:42:00Z,2025-02-03T15:42:00Z,2025-02-03T15:42:00Z
org_northstar_001,zendesk,zd_ticket_120,tkt_000120,cus_00063,2025-02-03T15:59:00Z,normal,Integration,closed,29,1180,4.1,2025-02-03T15:59:00Z,2025-02-03T15:59:00Z,2025-02-03T15:59:00Z
org_northstar_001,zendesk,zd_ticket_121,tkt_000121,cus_00095,2025-02-03T14:27:00Z,high,Bug,open,78,296,5,2025-02-03T14:27:00Z,2025-02-03T14:27:00Z,2025-02-03T14:27:00Z
org_northstar_001,zendesk,zd_ticket_122,tkt_000122,cus_00272,2025-02-03T12:19:00Z,high,Performance,solved,57,114,5,2025-02-03T12:19:00Z,2025-02-03T12:19:00Z,2025-02-03T12:19:00Z
org_northstar_001,zendesk,zd_ticket_123,tkt_000123,cus_00419,2025-02-04T09:43:00Z,normal,Login,pending,39,184,5,2025-02-04T09:43:00Z,2025-02-04T09:43:00Z,2025-02-04T09:43:00Z
